,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.2046244,0.0,Ligand,Receptor,PRSS1,F2RL3,3.2046244
1,PRSS1,F2RL1,Acinar cell,Ductal cell type 1,3.1777208,0.0,Ligand,Receptor,PRSS1,F2RL1,3.1777208
2,PRSS1,PARD3,Acinar cell,Fibroblast cell,3.1269975,0.0,Ligand,Receptor,PRSS1,PARD3,3.1269975
3,PRSS1,PARD3,Acinar cell,Stellate cell,3.0337145,0.0,Ligand,Receptor,PRSS1,PARD3,3.0337145
4,S100A10,CFTR,Ductal cell type 1,Ductal cell type 1,3.0176315,0.0,Ligand,Receptor,S100A10,CFTR,3.0176315
5,HSP90AA1,CFTR,Ductal cell type 1,Ductal cell type 1,3.0170386,0.0,Ligand,Receptor,HSP90AA1,CFTR,3.0170386
6,PRSS1,F2RL1,Acinar cell,Acinar cell,3.005435,0.0,Ligand,Receptor,PRSS1,F2RL1,3.005435
7,PRSS1,PARD3,Acinar cell,Ductal cell type 1,2.9734824,0.0,Ligand,Receptor,PRSS1,PARD3,2.9734824
8,PRSS1,F2R,Acinar cell,Endothelial cell,2.973199,0.0,Ligand,Receptor,PRSS1,F2R,2.973199
10,SPINK1,EGFR,Acinar cell,Fibroblast cell,2.7219868,0.0,Ligand,Receptor,SPINK1,EGFR,2.7219868
11,S100A10,CFTR,Endothelial cell,Ductal cell type 1,2.7077177,0.003,Ligand,Receptor,S100A10,CFTR,2.7077177
12,SPINK1,EGFR,Acinar cell,Ductal cell type 1,2.6930466,0.0,Ligand,Receptor,SPINK1,EGFR,2.6930466
13,SPINK1,EGFR,Acinar cell,Stellate cell,2.6874607,0.0,Ligand,Receptor,SPINK1,EGFR,2.6874607
14,APP,CD74,Endothelial cell,Endothelial cell,2.5695972,0.0,Ligand,Receptor,APP,CD74,2.5695972
17,APP,CD74,Ductal cell type 1,Endothelial cell,2.4956002,0.0,Ligand,Receptor,APP,CD74,2.4956002
18,B2M,TFRC,Endothelial cell,Ductal cell type 1,2.4798226,0.0,Ligand,Receptor,B2M,TFRC,2.4798226
21,LGALS1,ITGB1,Stellate cell,Stellate cell,2.4576113,0.0,Ligand,Receptor,LGALS1,ITGB1,2.4576113
22,HLA-A,APLP2,Endothelial cell,Fibroblast cell,2.407301,0.0,Ligand,Receptor,HLA-A,APLP2,2.407301
23,HLA-A,APLP2,Endothelial cell,Ductal cell type 1,2.3863764,0.0,Ligand,Receptor,HLA-A,APLP2,2.3863764
24,LUM,ITGB1,Fibroblast cell,Stellate cell,2.3296661,0.0,Ligand,Receptor,LUM,ITGB1,2.3296661
26,VIM,CD44,Stellate cell,Ductal cell type 1,2.2988853,0.0,Ligand,Receptor,VIM,CD44,2.2988853
27,LGALS1,ITGB1,Fibroblast cell,Stellate cell,2.2756922,0.0,Ligand,Receptor,LGALS1,ITGB1,2.2756922
28,TIMP3,CD44,Fibroblast cell,Ductal cell type 1,2.274335,0.0,Ligand,Receptor,TIMP3,CD44,2.274335
30,VIM,CD44,Fibroblast cell,Ductal cell type 1,2.2640908,0.0,Ligand,Receptor,VIM,CD44,2.2640908
33,CALM2,AQP1,Stellate cell,Endothelial cell,2.2446291,0.0,Ligand,Receptor,CALM2,AQP1,2.2446291
34,PRSS3,F2RL3,Acinar cell,Endothelial cell,2.243267,0.0,Ligand,Receptor,PRSS3,F2RL3,2.243267
38,PRSS3,F2RL1,Acinar cell,Ductal cell type 1,2.2163634,0.0,Ligand,Receptor,PRSS3,F2RL1,2.2163634
40,HLA-A,APLP2,Endothelial cell,Stellate cell,2.186413,0.0,Ligand,Receptor,HLA-A,APLP2,2.186413
41,A2M,LRP1,Endothelial cell,Fibroblast cell,2.1748874,0.0,Ligand,Receptor,A2M,LRP1,2.1748874
44,LGALS1,ITGB1,Stellate cell,Fibroblast cell,2.166644,0.0,Ligand,Receptor,LGALS1,ITGB1,2.166644
45,LGALS1,ITGB1,Stellate cell,Endothelial cell,2.1662633,0.0,Ligand,Receptor,LGALS1,ITGB1,2.1662633
46,CALM2,AQP1,Stellate cell,Ductal cell type 1,2.1657367,0.0,Ligand,Receptor,CALM2,AQP1,2.1657367
47,PRSS3,PARD3,Acinar cell,Fibroblast cell,2.16564,0.0,Ligand,Receptor,PRSS3,PARD3,2.16564
50,DCN,EGFR,Fibroblast cell,Fibroblast cell,2.1325397,0.0,Ligand,Receptor,DCN,EGFR,2.1325397
51,APP,CD74,Fibroblast cell,Endothelial cell,2.124575,0.0,Ligand,Receptor,APP,CD74,2.124575
52,TIMP1,CD63,Fibroblast cell,Fibroblast cell,2.1197503,0.0,Ligand,Receptor,TIMP1,CD63,2.1197503
53,TIMP3,KDR,Fibroblast cell,Endothelial cell,2.111649,0.0,Ligand,Receptor,TIMP3,KDR,2.111649
55,DCN,EGFR,Fibroblast cell,Ductal cell type 1,2.1035995,0.0,Ligand,Receptor,DCN,EGFR,2.1035995
56,DCN,EGFR,Fibroblast cell,Stellate cell,2.0980136,0.0,Ligand,Receptor,DCN,EGFR,2.0980136
57,S100A10,TRPV6,Ductal cell type 1,Ductal cell type 1,2.0907545,0.0,Ligand,Receptor,S100A10,TRPV6,2.0907545
59,FBLN1,ITGB1,Fibroblast cell,Stellate cell,2.0833085,0.0,Ligand,Receptor,FBLN1,ITGB1,2.0833085
60,PRSS3,PARD3,Acinar cell,Stellate cell,2.0723572,0.0,Ligand,Receptor,PRSS3,PARD3,2.0723572
