,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.822401,0.0,Ligand,Receptor,PRSS1,F2RL3,3.822401
1,PRSS1,F2R,Acinar cell,Fibroblast cell,3.72842,0.0,Ligand,Receptor,PRSS1,F2R,3.72842
2,B2M,CD3D,T cell,T cell,3.6884108,0.0,Ligand,Receptor,B2M,CD3D,3.6884108
3,B2M,CD3D,Macrophage cell,T cell,3.5910406,0.0,Ligand,Receptor,B2M,CD3D,3.5910406
4,B2M,CD3D,Endothelial cell,T cell,3.5874429,0.0,Ligand,Receptor,B2M,CD3D,3.5874429
5,B2M,CD3D,Stellate cell,T cell,3.4655623,0.0,Ligand,Receptor,B2M,CD3D,3.4655623
6,APP,CD74,Endothelial cell,Macrophage cell,3.4311078,0.0,Ligand,Receptor,APP,CD74,3.4311078
7,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.398992,0.0,Ligand,Receptor,TIMP1,CD63,3.398992
8,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.398859,0.0,Ligand,Receptor,TIMP1,CD63,3.398859
9,TIMP1,CD63,Fibroblast cell,Stellate cell,3.3235397,0.0,Ligand,Receptor,TIMP1,CD63,3.3235397
10,APP,CD74,Ductal cell type 1,Macrophage cell,3.315983,0.0,Ligand,Receptor,APP,CD74,3.315983
11,B2M,CD3D,Endocrine cell,T cell,3.296692,0.0,Ligand,Receptor,B2M,CD3D,3.296692
12,PRSS1,F2R,Acinar cell,Endothelial cell,3.2768924,0.0,Ligand,Receptor,PRSS1,F2R,3.2768924
13,TIMP1,CD63,Fibroblast cell,Macrophage cell,3.2476757,0.0,Ligand,Receptor,TIMP1,CD63,3.2476757
14,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,3.2256503,0.0,Ligand,Receptor,TIMP1,CD63,3.2256503
15,PRSS1,F2RL1,Acinar cell,Ductal cell type 2,3.213512,0.0,Ligand,Receptor,PRSS1,F2RL1,3.213512
16,PRSS1,F2R,Acinar cell,Endocrine cell,3.196197,0.0,Ligand,Receptor,PRSS1,F2R,3.196197
17,PRSS1,F2R,Acinar cell,T cell,3.1950784,0.0,Ligand,Receptor,PRSS1,F2R,3.1950784
18,PRSS1,F2RL1,Acinar cell,Ductal cell type 1,3.173363,0.0,Ligand,Receptor,PRSS1,F2RL1,3.173363
19,PRSS1,F2RL2,Acinar cell,Fibroblast cell,3.1563826,0.0,Ligand,Receptor,PRSS1,F2RL2,3.1563826
20,B2M,CD3D,Fibroblast cell,T cell,3.1472235,0.0,Ligand,Receptor,B2M,CD3D,3.1472235
21,B2M,CD3D,Ductal cell type 1,T cell,3.139309,0.0,Ligand,Receptor,B2M,CD3D,3.139309
22,TIMP1,CD63,Stellate cell,Fibroblast cell,3.1188266,0.0,Ligand,Receptor,TIMP1,CD63,3.1188266
23,TIMP1,CD63,Stellate cell,Ductal cell type 2,3.1186936,0.0,Ligand,Receptor,TIMP1,CD63,3.1186936
24,APP,CD74,Endocrine cell,Macrophage cell,3.1083934,0.0,Ligand,Receptor,APP,CD74,3.1083934
25,PRSS1,PARD3,Acinar cell,Fibroblast cell,3.1001358,0.0,Ligand,Receptor,PRSS1,PARD3,3.1001358
26,PRSS1,PARD3,Acinar cell,Stellate cell,3.0973954,0.0,Ligand,Receptor,PRSS1,PARD3,3.0973954
27,PRSS1,PARD3,Acinar cell,Ductal cell type 2,3.0963478,0.0,Ligand,Receptor,PRSS1,PARD3,3.0963478
28,PRSS1,PARD3,Acinar cell,Ductal cell type 1,3.095904,0.0,Ligand,Receptor,PRSS1,PARD3,3.095904
29,PRSS1,PARD3,Acinar cell,Acinar cell,3.0758493,0.0,Ligand,Receptor,PRSS1,PARD3,3.0758493
30,PRSS1,F2RL1,Acinar cell,Endocrine cell,3.0580273,0.0,Ligand,Receptor,PRSS1,F2RL1,3.0580273
31,B2M,CD3G,T cell,T cell,3.0578215,0.0,Ligand,Receptor,B2M,CD3G,3.0578215
32,PRSS1,F2RL1,Acinar cell,Acinar cell,3.0565984,0.0,Ligand,Receptor,PRSS1,F2RL1,3.0565984
33,TIMP1,CD63,Stellate cell,Stellate cell,3.0433743,0.0,Ligand,Receptor,TIMP1,CD63,3.0433743
34,APP,CD74,Endothelial cell,Endothelial cell,3.0227516,0.0,Ligand,Receptor,APP,CD74,3.0227516
35,B2M,CD3D,Ductal cell type 2,T cell,3.0226688,0.0,Ligand,Receptor,B2M,CD3D,3.0226688
36,APP,CD74,Fibroblast cell,Macrophage cell,3.021334,0.0,Ligand,Receptor,APP,CD74,3.021334
37,TIMP1,CD63,Fibroblast cell,Endocrine cell,3.014155,0.0,Ligand,Receptor,TIMP1,CD63,3.014155
38,TIMP1,CD63,Fibroblast cell,Endothelial cell,3.000667,0.0,Ligand,Receptor,TIMP1,CD63,3.000667
39,SPINK1,EGFR,Acinar cell,Ductal cell type 1,2.985934,0.0,Ligand,Receptor,SPINK1,EGFR,2.985934
40,SPINK1,EGFR,Acinar cell,Endocrine cell,2.985583,0.0,Ligand,Receptor,SPINK1,EGFR,2.985583
41,SPINK1,EGFR,Acinar cell,Ductal cell type 2,2.9802792,0.0,Ligand,Receptor,SPINK1,EGFR,2.9802792
42,COL1A2,CD93,Fibroblast cell,Endothelial cell,2.973999,0.0,Ligand,Receptor,COL1A2,CD93,2.973999
43,SPP1,S1PR1,Ductal cell type 1,Endothelial cell,2.9691827,0.0,Ligand,Receptor,SPP1,S1PR1,2.9691827
44,TIMP1,CD63,Stellate cell,Macrophage cell,2.9675102,0.0,Ligand,Receptor,TIMP1,CD63,2.9675102
45,SPINK1,EGFR,Acinar cell,Acinar cell,2.9648068,0.0,Ligand,Receptor,SPINK1,EGFR,2.9648068
46,B2M,CD3G,Macrophage cell,T cell,2.9604514,0.0,Ligand,Receptor,B2M,CD3G,2.9604514
