"","LRScore","ligpair","recpair","allpair","type_gene_A","type_gene_B","gene_A","gene_B","source","target","cellpair","interaction_type"
"1",-2.5783617,"Ductal cell type 2/B2M|L","Macrophage cell/CD1C|R","Ductal cell type 2/B2M|L@Macrophage cell/CD1C|R","Ligand","Receptor","B2M|L","CD1C|R","Ductal cell type 2","Macrophage cell","Ductal cell type 2@Macrophage cell","LR"
"2",-2.5484233,"Endocrine cell/INS|L","B cell/LILRB1|R","Endocrine cell/INS|L@B cell/LILRB1|R","Ligand","Receptor","INS|L","LILRB1|R","Endocrine cell","B cell","Endocrine cell@B cell","LR"
"3",-2.4953194,"Ductal cell type 2/B2M|L","B cell/CD1C|R","Ductal cell type 2/B2M|L@B cell/CD1C|R","Ligand","Receptor","B2M|L","CD1C|R","Ductal cell type 2","B cell","Ductal cell type 2@B cell","LR"
"4",-2.4220471,"B cell/APP|L","B cell/CD74|R","B cell/APP|L@B cell/CD74|R","Ligand","Receptor","APP|L","CD74|R","B cell","B cell","B cell@B cell","LR"
"5",-2.38616,"B cell/COPA|L","B cell/CD74|R","B cell/COPA|L@B cell/CD74|R","Ligand","Receptor","COPA|L","CD74|R","B cell","B cell","B cell@B cell","LR"
"6",-2.3817914,"T cell/COPA|L","B cell/CD74|R","T cell/COPA|L@B cell/CD74|R","Ligand","Receptor","COPA|L","CD74|R","T cell","B cell","T cell@B cell","LR"
"7",-2.3817616,"B cell/APP|L","Macrophage cell/CD74|R","B cell/APP|L@Macrophage cell/CD74|R","Ligand","Receptor","APP|L","CD74|R","B cell","Macrophage cell","B cell@Macrophage cell","LR"
"8",-2.3458743,"B cell/COPA|L","Macrophage cell/CD74|R","B cell/COPA|L@Macrophage cell/CD74|R","Ligand","Receptor","COPA|L","CD74|R","B cell","Macrophage cell","B cell@Macrophage cell","LR"
"9",-2.3415058,"T cell/COPA|L","Macrophage cell/CD74|R","T cell/COPA|L@Macrophage cell/CD74|R","Ligand","Receptor","COPA|L","CD74|R","T cell","Macrophage cell","T cell@Macrophage cell","LR"
"10",-2.3139243,"Fibroblast cell/COL1A2|L","T cell/SDC1|R","Fibroblast cell/COL1A2|L@T cell/SDC1|R","Ligand","Receptor","COL1A2|L","SDC1|R","Fibroblast cell","T cell","Fibroblast cell@T cell","LR"
"11",-2.280083,"Fibroblast cell/COL1A1|L","T cell/SDC1|R","Fibroblast cell/COL1A1|L@T cell/SDC1|R","Ligand","Receptor","COL1A1|L","SDC1|R","Fibroblast cell","T cell","Fibroblast cell@T cell","LR"
"12",-2.2687876,"Fibroblast cell/COL1A2|L","Macrophage cell/SDC1|R","Fibroblast cell/COL1A2|L@Macrophage cell/SDC1|R","Ligand","Receptor","COL1A2|L","SDC1|R","Fibroblast cell","Macrophage cell","Fibroblast cell@Macrophage cell","LR"
"13",-2.2349463,"Fibroblast cell/COL1A1|L","Macrophage cell/SDC1|R","Fibroblast cell/COL1A1|L@Macrophage cell/SDC1|R","Ligand","Receptor","COL1A1|L","SDC1|R","Fibroblast cell","Macrophage cell","Fibroblast cell@Macrophage cell","LR"
"14",-2.0430698,"Macrophage cell/HLA-DRA|L","Ductal cell type 1/CD4|R","Macrophage cell/HLA-DRA|L@Ductal cell type 1/CD4|R","Ligand","Receptor","HLA-DRA|L","CD4|R","Macrophage cell","Ductal cell type 1","Macrophage cell@Ductal cell type 1","LR"
"15",-2.0209777,"Fibroblast cell/DCN|L","Endocrine cell/EGFR|R","Fibroblast cell/DCN|L@Endocrine cell/EGFR|R","Ligand","Receptor","DCN|L","EGFR|R","Fibroblast cell","Endocrine cell","Fibroblast cell@Endocrine cell","LR"
"16",-1.9907095,"B cell/HLA-A|L","Ductal cell type 2/APLP2|R","B cell/HLA-A|L@Ductal cell type 2/APLP2|R","Ligand","Receptor","HLA-A|L","APLP2|R","B cell","Ductal cell type 2","B cell@Ductal cell type 2","LR"
"17",-1.9732964,"Fibroblast cell/DCN|L","Ductal cell type 1/ERBB4|R","Fibroblast cell/DCN|L@Ductal cell type 1/ERBB4|R","Ligand","Receptor","DCN|L","ERBB4|R","Fibroblast cell","Ductal cell type 1","Fibroblast cell@Ductal cell type 1","LR"
"18",-1.9663221,"B cell/HLA-DRA|L","Ductal cell type 1/CD4|R","B cell/HLA-DRA|L@Ductal cell type 1/CD4|R","Ligand","Receptor","HLA-DRA|L","CD4|R","B cell","Ductal cell type 1","B cell@Ductal cell type 1","LR"
"19",-1.9583185,"Ductal cell type 1/MMP7|L","T cell/SDC1|R","Ductal cell type 1/MMP7|L@T cell/SDC1|R","Ligand","Receptor","MMP7|L","SDC1|R","Ductal cell type 1","T cell","Ductal cell type 1@T cell","LR"
